Treatment,Rep,Genotype,neo,vio,Lutein,Zeaxanthin,BCarotene,OtherCarotenes,TotalCarotenoids,dT3,gT3,aT3,dT,gT,aT,TotalTocotrienols,TotalTocopherols,TotalTocochromanols,Chlorophylla,Zearesid
control,1,B97,0.575,1.584,3.562,18.859,0.112,0.173,22.706,0.049,0.989,1.004,0.46,35.318,13.644,2.042,49.423,51.464,0.663,0.0040765312
dark,1,B97,0.469,1.454,3.666,17.216,0.05,0.157,21.09,0.042,0.966,1.885,0.013,9.656,6.935,2.893,16.603,19.496,0.022,-0.000442389
light,1,B97,0.599,1.273,2.898,13.393,0.017,0.149,16.456,0.028,1.364,0.814,2.471,108.443,16.658,2.205,127.572,129.777,1.966,-0.001900634
dark,1,Ki11,0.378,2.736,3.652,6.682,0.145,0.117,10.595,0.012,0.527,1.187,0.048,7.573,9.838,1.726,17.458,19.184,0.108,-0.000375913
light,1,Ki11,0.458,2.639,3.469,7.244,0.211,0.211,11.135,0.003,0.259,0.458,11.388,136.564,24.264,0.72,172.216,172.936,4.109,0.0080821201
control,1,Ki11,0.415,2.539,3.536,7.857,0.129,0.166,11.688,0.009,0.348,0.456,8.778,108.209,22.235,0.813,139.222,140.035,3.015,0.0337485946
light,1,NC358,0.142,0.975,1.776,7.326,0.054,0.108,9.264,0.012,0.564,1.763,5.68,96.16,28.937,2.339,130.777,133.116,2.731,0.0036454456
control,1,NC358,0.186,1.047,1.607,6.635,0.049,0.138,8.43,0.004,0.406,1.088,3.444,61.721,23.384,1.498,88.549,90.047,2.099,-0.001146526
dark,1,NC358,0.161,0.997,1.57,5.977,0.012,0.107,7.665,0.013,0.364,0.737,0.122,10.658,4.55,1.114,15.329,16.443,0.095,-0.002153695
dark,1,B73,0.348,0.92,2.435,12.356,0.013,0.137,14.941,0.042,1.811,2.185,0.136,16.542,5.043,4.038,21.721,25.759,0.102,-0.012729935
control,1,B73,0.406,1.147,2.432,11.595,0,0.144,14.172,0.033,1.082,0.884,12.682,132.219,12.324,1.999,157.225,159.223,1.398,0.0051640303
light,1,B73,0.376,1.267,2.798,12.502,0.043,0.158,15.5,0.015,0.624,0.664,22.058,178.903,12.099,1.303,213.06,214.364,2.665,-0.012741944
control,1,OH7B,0.291,2.014,2.335,6.778,0,0.121,9.235,0.03,1.727,0.627,29.418,229.588,4.809,2.384,263.814,266.199,1.48,0.0134780688
dark,1,OH7B,0.273,2.03,2.37,6.428,0,0.081,8.878,0.145,8.273,3.028,0.2,29.623,2.46,11.445,32.283,43.728,0.031,0.0049816468
light,1,OH7B,0.345,1.851,2.909,8.822,0.01,0.178,11.919,0.019,1.975,0.735,30.324,242.053,4.564,2.73,276.941,279.67,1.518,0.0239176185
light,1,M37W,0.357,1.086,2.643,9.835,0.077,0.158,12.714,0.005,0.241,0.434,11.945,139.577,6.269,0.68,157.79,158.47,3.411,-0.002320981
dark,1,M37W,0.401,1.064,2.719,9.388,0.065,0.169,12.341,0.004,0.495,1.891,0.334,17.524,3.119,2.39,20.977,23.367,0.096,-0.000409025
control,1,M37W,0.365,1.125,2.348,8.011,0.027,0.142,10.529,0.003,0.227,0.385,5.492,81.781,4.55,0.615,91.823,92.438,1.606,-0.012927105
control,1,MS71,0.427,1.665,3.307,11.318,0.073,0.18,14.877,0.014,0.872,0.754,5.381,119.118,14.72,1.64,139.22,140.859,1.714,0.0293208699
light,1,MS71,0.371,1.553,3.106,10.324,0,0.109,13.539,0.007,0.439,0.608,9.616,170.552,14.977,1.054,195.145,196.198,2.321,0.0162200557
dark,1,MS71,0.356,1.66,3.634,11.019,0.076,0.142,14.871,0.022,1.573,2.035,0.178,17.44,6.276,3.63,23.894,27.524,0.26,0.0267561603
dark,2,B97,0.535,1.662,4.072,17.351,0.047,0.13,21.6,0.052,1.008,1.62,0.014,8.757,4.979,2.679,13.75,16.43,0,0.0004423888
light,2,B97,0.545,1.004,2.851,13.973,0.026,0.163,17.013,0.023,1.244,0.737,2.553,104.941,16.407,2.004,123.901,125.905,2.163,0.0019006335
