Treatment,Rep,Genotype,aT,dT,gT,aT3,dT3,gT3,TotalT,TotalT3,TotalTT3,chlorophyll,Neo,Vio,Lutein,Zeaxanthin,BCarotene,OtherCarotenes,TotalCarotenoids
control,1,B73,0.0105734344,-1.677617614,-0.138357882,-0.038994866,0.9170019056,0.0104184581,-0.575645662,-0.002049651,-0.623160737,0.0390318668,0.6640516341,-0.048137437,0.4096702873,0.0051640303,-0.000242123,0.4105100942,0.5376365084
control,1,B97,-0.5995348,-1.296679705,-1.551269394,-0.86877011,0.2959612924,-0.920058405,-1.52346548,-1.096199245,-1.433407338,0.0363400139,-0.346461722,0.2800723608,0.151973617,0.0040765312,0.005084581,0.0947330987,1.3169967743
control,1,Ki11,-1.778698595,0.4307482231,-1.273741512,0.3800745324,1.7428150719,-0.575011572,-1.495951475,0.3231113769,-1.432091282,1.9690903848,0.7073593494,0.6783002489,1.647838907,0.0337485946,0.0003411146,1.547307278,1.6744608051
control,1,M37W,0.1636185725,0.4228659577,0.6058474693,-0.08002723,-0.417751681,0.5600386555,0.5707951481,0.0268850143,0.5730889371,-0.016151117,1.4002827937,0.918987434,-0.42804489,-0.012927105,-0.005087835,-0.126310798,-1.59575763
control,1,MS71,-0.151145063,1.6352156131,1.4446465517,-1.005282084,-1.252862104,-0.018834593,1.4750337763,-1.61886792,1.4542548767,1.2019123128,0.9527697359,0.5995298974,0.2988513396,0.0293208699,0.0070023194,1.4841518789,1.2125258876
control,1,NC358,1.6467375246,1.707208115,1.5616365428,0.6886285287,-0.190939334,0.9486557378,1.671787888,0.7309114494,1.6779388324,0.267839362,0.4042053425,0.6914286408,0.4452890794,-0.001146526,-0.000968491,-0.315776996,-0.316835534
control,1,OH7B,-1.095873151,-1.173812072,-1.213465869,-0.600549959,-0.967176995,-0.278202393,-1.200098061,-0.332093536,-1.202479919,0.977142597,-1.61682137,-1.137793966,0.374475926,0.0134780688,-0.000242123,-1.452574179,0.7978385186
control,2,B73,-0.010573434,1.6776176144,0.138357882,0.0389948661,-0.917001906,-0.010418458,0.5756456615,0.0020496513,0.6231607374,-0.039031867,-0.664051634,0.048137437,-0.409670287,-0.00516403,0.0002421226,-0.410510094,-0.537636508
control,2,B97,0.5995347995,1.2966797047,1.5512693936,0.8687701098,-0.295961292,0.920058405,1.5234654797,1.0961992449,1.4334073379,-0.036340014,0.3464617222,-0.280072361,-0.151973617,-0.004076531,-0.005084581,-0.094733099,-1.316996774
control,2,Ki11,1.7786985946,-0.430748223,1.2737415125,-0.380074532,-1.742815072,0.5750115716,1.4959514753,-0.323111377,1.4320912823,-1.969090385,-0.707359349,-0.678300249,-1.647838907,-0.033748595,-0.000341115,-1.547307278,-1.674460805
control,2,M37W,-0.163618573,-0.422865958,-0.605847469,0.0800272301,0.4177516807,-0.560038655,-0.570795148,-0.026885014,-0.573088937,0.0161511173,-1.400282794,-0.918987434,0.4280448903,0.0129271054,0.005087835,0.1263107982,1.5957576304
control,2,MS71,0.1511450625,-1.635215613,-1.444646552,1.0052820845,1.252862104,0.0188345929,-1.475033776,1.6188679199,-1.454254877,-1.201912313,-0.952769736,-0.599529897,-0.29885134,-0.02932087,-0.007002319,-1.484151879,-1.212525888
control,2,NC358,-1.646737525,-1.707208115,-1.561636543,-0.688628529,0.1909393337,-0.948655738,-1.671787888,-0.730911449,-1.677938832,-0.267839362,-0.404205343,-0.691428641,-0.445289079,0.0011465259,0.0009684907,0.3157769955,0.3168355342
control,2,OH7B,1.0958731511,1.1738120723,1.2134658694,0.6005499585,0.9671769954,0.278202393,1.2000980614,0.3320935359,1.2024799187,-0.977142597,1.6168213701,1.1377939659,-0.374475926,-0.013478069,0.0002421228,1.4525741793,-0.797838519
dark,1,B73,-1.24488278,-0.058462432,-1.71959082,0.6287922152,1.6047533347,0.3160265632,-1.631847768,0.4652708403,-1.72040542,0.0919867945,-0.230974481,-0.542640199,-1.205995677,-0.012729935,-0.00278441,-1.101350436,-1.385525664
dark,1,B97,0.9612213671,-0.01350708,0.1915647232,1.4389004943,-1.479806462,-0.471249427,0.5056948241,0.9774443267,0.4973774217,0.0697830855,-0.952769736,-0.910235173,-1.713924681,-0.000442389,0.0003631844,1.1013504365,-0.506919513
dark,1,Ki11,-1.916404292,-0.014278947,-0.158816131,-1.54712692,0.5809383573,0.0410722551,-0.600665543,-1.497664895,-0.637320735,-0.164941838,-0.923897926,-0.218806532,-0.385251139,-0.000375913,0.0001574375,-0.203953785,-0.069830455
dark,1,M37W,0.491455053,0.2970264904,0.3353712491,1.728588171,-8.6962e-15,1.5528344538,0.3545751746,1.7251217491,0.3763904385,0.0570952518,2.1076421431,1.4178663267,1.549401927,-0.000409025,-0.002320767,1.9579563315,0.252750873
dark,1,MS71,-0.34475469,0.1686065198,-0.008682086,-0.708641469,-0.835241403,1.24308313,-0.038128518,0.4692370782,-0.036155969,0.6819710626,0.476384868,1.7110670794,1.703092574,0.0267561603,0.0060430975,-0.326326055,1.7712578166
