Plate.Number,Envelope,Treatment,Rep,Location,Genotype,Field.location,Source,Extraction.BC,Datafile,d.T3,g.T3,a.T3,d.T,g.T,a.T,Total.Tocotrienols,Total.Tocopherols,Total.Tocochromanols,ID,ID2
LD_Plate 1,18A1319_1_1,Control,1,NY,B97,U,14A1273,8032064647,02042019_LD1_18A1319_1_1_B97_9.lcd,1.819,17.262,5.625,0.066,7.966,3.993,24.705,12.026,36.731,B97_Control_1,B97_Control
LD_Plate 1,18A1319_1_2,Control,1,NY,B97,U,14A1273,8032064894,02042019_LD1_18A1319_1_2_B97_10.lcd,2.07,28.667,6.441,0.106,14.34,5.564,37.177,20.01,57.188,B97_Control_1,B97_Control
LD_Plate 1,18A1319_1_3,Control,1,NY,B97,U,14A1273,8032064991,02042019_LD1_18A1319_1_3_B97_11.lcd,2.041,18.467,4.899,0.079,7.83,NA,25.407,11.437,36.844,B97_Control_1,B97_Control
LD_Plate 1,18A1319_1_4,Control,1,NY,B97,U,14A1273,8032065137,02042019_LD1_18A1319_1_4_B97_12.lcd,2.254,24.426,6.203,0.065,10.204,4.832,32.883,15.1,47.983,B97_Control_1,B97_Control
LD_Plate 1,18A1319_1_5,Control,1,NY,B97,U,14A1273,8032064469,02042019_LD1_18A1319_1_5_B97_13.lcd,1.431,19.443,5.63,0.096,12.506,5.675,26.504,18.277,44.781,B97_Control_1,B97_Control
LD_Plate 1,18A1319_1_6,Control,1,NY,B97,U,14A1273,8032064776,02042019_LD1_18A1319_1_6_B97_14.lcd,1.766,15.535,4.401,NA,NA,5.263,21.702,NA,57.287,B97_Control_1,B97_Control
LD_Plate 1,18A1319_1_7,Control,1,NY,B97,U,14A1273,8032064550,02042019_LD1_18A1319_1_7_B97_15.lcd,1.953,21.985,5.519,0.086,12.206,4.973,29.457,17.265,46.722,B97_Control_1,B97_Control
LD_Plate 1,18A1319_1_8,Control,1,NY,B97,U,14A1273,8032064541,02042019_LD1_18A1319_1_8_B97_16.lcd,2.344,30.016,6.377,0.115,14.173,NA,38.737,21.072,59.809,B97_Control_1,B97_Control
LD_Plate 1,18A1319_2_1,Dark,1,NY,B97,U,14A1273,8032064793,02042019_LD1_18A1319_2_1_B97_17.lcd,1.895,NA,NA,0.042,4.272,4.074,NA,8.389,42.785,B97_Dark_1,B97_Dark
LD_Plate 1,18A1319_2_2,Dark,1,NY,B97,U,14A1273,8032065331,02042019_LD1_18A1319_2_2_B97_18.lcd,NA,23.025,4.828,0.051,NA,NA,29.497,NA,33.05,B97_Dark_1,B97_Dark
LD_Plate 1,18A1319_2_3,Dark,1,NY,B97,U,14A1273,8032064809,02042019_LD1_18A1319_2_3_B97_19.lcd,NA,NA,4.731,0.026,3.313,3.437,NA,6.776,33.813,B97_Dark_1,B97_Dark
LD_Plate 1,18A1319_2_4,Dark,1,NY,B97,U,14A1273,8032064813,02042019_LD1_18A1319_2_4_B97_22.lcd,NA,23.269,4.931,0.047,3.87,3.774,30.604,7.691,38.295,B97_Dark_1,B97_Dark
LD_Plate 1,18A1319_2_5,Dark,1,NY,B97,U,14A1273,8032064457,02042019_LD1_18A1319_2_5_B97_23.lcd,1.947,23.203,NA,0.043,4.343,NA,31.32,8.928,40.248,B97_Dark_1,B97_Dark
LD_Plate 1,18A1319_2_6,Dark,1,NY,B97,U,14A1273,8032064781,02042019_LD1_18A1319_2_6_B97_24.lcd,1.965,22.81,5.439,0.037,4.229,3.24,30.214,7.507,37.72,B97_Dark_1,B97_Dark
LD_Plate 1,18A1319_2_7,Dark,1,NY,B97,U,14A1273,8032065231,02042019_LD1_18A1319_2_7_B97_25.lcd,1.811,22.85,5.085,0.04,4.686,3.479,29.746,8.205,37.951,B97_Dark_1,B97_Dark
LD_Plate 1,18A1319_2_8,Dark,1,NY,B97,U,14A1273,8032064698,02042019_LD1_18A1319_2_8_B97_26.lcd,1.967,22.727,4.78,0.033,3.718,3.408,29.474,7.159,36.633,B97_Dark_1,B97_Dark
