HPLC.Plate.Number,Barcode,Plot,Random.number,Treatment,Rep,Location,Genotype,Source,Exp,Planted,Plant.Id,Grind.Tube,Datafile,d.T3,g.T3,a.T3,d.T,g.T,a.T,Total.Tocotrienols,Total.Tocopherols,Total.Tocochromanols,Total.Carots,ID,ID2
Light_Dark-CT-1,19A1815.1,1815,1,control,1,NY,B73,14A1165,Light-Dark,6122019,1,GT-0007,L&D_B73_control_19A1815.1_46.lcd,1.07,27.762,15.457,5.054,39.115,6.408,44.289,50.576,94.866,149900,B73_control_1,B73_control
Light_Dark-CT-1,19A1815.2,1815,1,control,1,NY,B73,14A1165,Light-Dark,6122019,2,GT-0010,L&D_B73_control_19A1815.2_59.lcd,1.142,27.93,NA,5.337,40.806,5.284,45.958,51.427,97.385,151663,B73_control_1,B73_control
Light_Dark-CT-1,19A1815.3,1815,1,control,1,NY,B73,14A1165,Light-Dark,6122019,3,GT-0081,L&D_B73_control_19A1815.3_25.lcd,1.191,28.345,14.681,4.84,37.154,5.598,44.217,47.591,91.808,153351,B73_control_1,B73_control
Light_Dark-CT-1,19A1815.4,1815,1,control,1,NY,B73,14A1165,Light-Dark,6122019,4,GT-0013,L&D_B73_control_19A1815.4_18.lcd,1.274,31.187,15.628,4.772,40.478,6.06,48.089,51.31,99.399,148554,B73_control_1,B73_control
Light_Dark-CT-1,19A1815.5,1815,1,control,1,NY,B73,14A1165,Light-Dark,6122019,5,GT-0073,L&D_B73_control_19A1815.5_19.lcd,1.177,31.345,15.002,5.416,NA,NA,47.524,NA,NA,NA,B73_control_1,B73_control
Light_Dark-CT-1,19A1815.6,1815,1,control,1,NY,B73,14A1165,Light-Dark,6122019,6,GT-0039,L&D_B73_control_19A1815.6_31.lcd,1.327,29.903,NA,4.601,38.89,5.095,44.904,48.586,93.49,NA,B73_control_1,B73_control
Light_Dark-CT-1,19A1816.1,1816,2,light,1,NY,B73,14A1165,Light-Dark,6122019,1,GT-0058,L&D_B73_light_19A1816.1_66.lcd,1.022,NA,13.964,4.967,35.812,5.083,NA,45.861,94.324,146993,B73_light_1,B73_light
Light_Dark-CT-1,19A1816.2,1816,2,light,1,NY,B73,14A1165,Light-Dark,6122019,2,GT-0055,L&D_B73_light_19A1816.2_68.lcd,1.005,31.011,NA,3.789,33.57,5.734,45.776,43.093,88.869,NA,B73_light_1,B73_light
Light_Dark-CT-1,19A1816.3,1816,2,light,1,NY,B73,14A1165,Light-Dark,6122019,3,GT-0068,L&D_B73_light_19A1816.3_39.lcd,NA,31.089,13.963,5.536,38.619,6.216,46.001,50.371,96.372,147874,B73_light_1,B73_light
Light_Dark-CT-1,19A1817.1,1817,3,dark,1,NY,B73,14A1165,Light-Dark,6122019,1,GT-0075,L&D_B73_dark_19A1817.1_40.lcd,NA,23.711,13.823,0.044,3.301,2.12,NA,5.464,43.783,138499,B73_dark_1,B73_dark
Light_Dark-CT-1,19A1817.2,1817,3,dark,1,NY,B73,14A1165,Light-Dark,6122019,2,GT-0070,L&D_B73_dark_19A1817.2_12.lcd,1.187,27.738,14.656,0.016,2.099,1.962,43.581,4.077,47.658,145581,B73_dark_1,B73_dark
Light_Dark-CT-1,19A1817.3,1817,3,dark,1,NY,B73,14A1165,Light-Dark,6122019,3,GT-0080,L&D_B73_dark_19A1817.3_30.lcd,1.131,26.525,15.623,0.065,4.077,NA,43.279,7.34,50.619,149884,B73_dark_1,B73_dark
Light_Dark-CT-1,19A1818.1,1818,2,light,1,NY,B97,14A1273,Light-Dark,6122019,1,GT-0028,L&D_B97_light_19A1818.1_9.lcd,1.609,28.902,6.271,0.548,33.802,7.43,NA,41.781,78.562,99123,B97_light_1,B97_light
Light_Dark-CT-1,19A1818.2,1818,2,light,1,NY,B97,14A1273,Light-Dark,6122019,2,GT-0016,L&D_B97_light_19A1818.2_17.lcd,1.431,28.755,6.112,0.479,NA,8.228,36.298,38.999,75.297,101761,B97_light_1,B97_light
Light_Dark-CT-1,19A1818.3,1818,2,light,1,NY,B97,14A1273,Light-Dark,6122019,3,GT-0074,L&D_B97_light_19A1818.3_58.lcd,1.765,NA,NA,0.59,33.025,6.618,36.178,40.233,76.412,100655,B97_light_1,B97_light
Light_Dark-CT-1,19A1819.1,1819,3,dark,1,NY,B97,14A1273,Light-Dark,6122019,1,GT-0003,L&D_B97_dark_19A1819.1_67.lcd,1.555,25.917,6.274,0.013,4.046,4.395,33.746,8.454,42.2,103238,B97_dark_1,B97_dark
Light_Dark-CT-1,19A1819.2,1819,3,dark,1,NY,B97,14A1273,Light-Dark,6122019,2,GT-0041,L&D_B97_dark_19A1819.2_74.lcd,1.567,26.242,5.744,0.009,3.716,3.769,33.552,7.494,41.046,92418,B97_dark_1,B97_dark
Light_Dark-CT-1,19A1819.3,1819,3,dark,1,NY,B97,14A1273,Light-Dark,6122019,3,GT-0023,L&D_B97_dark_19A1819.3_51.lcd,NA,24.612,6.219,0.019,3.745,4.484,32.143,8.249,40.392,89237,B97_dark_1,B97_dark
Light_Dark-CT-1,19A1819.4,1819,3,dark,1,NY,B97,14A1273,Light-Dark,6122019,4,GT-0044,L&D_B97_dark_19A1819.4_15.lcd,NA,21.582,5.705,0.016,3.54,3.881,28.494,7.437,35.932,97636,B97_dark_1,B97_dark
Light_Dark-CT-1,19A1819.5,1819,3,dark,1,NY,B97,14A1273,Light-Dark,6122019,5,GT-0077,L&D_B97_dark_19A1819.5_55.lcd,1.54,25.297,6.119,0.011,3.05,4.014,32.956,7.075,40.031,95154,B97_dark_1,B97_dark
Light_Dark-CT-1,19A1819.6,1819,3,dark,1,NY,B97,14A1273,Light-Dark,6122019,6,GT-0009,L&D_B97_dark_19A1819.6_41.lcd,1.529,NA,NA,0.012,3.048,NA,NA,NA,NA,90699,B97_dark_1,B97_dark
Light_Dark-CT-1,19A1819.7,1819,3,dark,1,NY,B97,14A1273,Light-Dark,6122019,7,GT-0030,L&D_B97_dark_19A1819.7_49.lcd,NA,24.206,5.465,0.021,3.29,3.983,31.306,7.294,38.6,100575,B97_dark_1,B97_dark
Light_Dark-CT-1,19A1820.1,1820,1,control,1,NY,B97,14A1273,Light-Dark,6122019,1,GT-0033,L&D_B97_control_19A1820.1_24.lcd,1.76,27.745,5.996,0.181,13.13,5.572,35.502,18.882,54.384,92794,B97_control_1,B97_control
Light_Dark-CT-1,19A1820.2,1820,1,control,1,NY,B97,14A1273,Light-Dark,6122019,2,GT-0001,L&D_B97_control_19A1820.2_73.lcd,1.521,22.523,5.051,0.202,13.805,5.152,29.094,19.159,48.253,87585,B97_control_1,B97_control
Light_Dark-CT-1,19A1820.3,1820,1,control,1,NY,B97,14A1273,Light-Dark,6122019,3,GT-0022,L&D_B97_control_19A1820.3_36.lcd,1.703,25.309,5.82,0.242,16.717,6.209,32.833,23.168,56,99499,B97_control_1,B97_control
Light_Dark-CT-1,19A1820.4,1820,1,control,1,NY,B97,14A1273,Light-Dark,6122019,4,GT-0083,L&D_B97_control_19A1820.4_84.lcd,1.566,23.521,5.456,0.21,14.914,5.668,30.543,20.791,51.334,89064,B97_control_1,B97_control
Light_Dark-CT-1,19A1820.5,1820,1,control,1,NY,B97,14A1273,Light-Dark,6122019,5,GT-0004,L&D_B97_control_19A1820.5_86.lcd,1.906,27.86,NA,0.236,16.433,NA,37.399,23.557,60.956,102148,B97_control_1,B97_control
Light_Dark-CT-1,19A1820.6,1820,1,control,1,NY,B97,14A1273,Light-Dark,6122019,6,GT-0002,L&D_B97_control_19A1820.6_45.lcd,1.41,22.537,6.233,0.273,17.21,5.935,30.179,23.419,53.598,98786,B97_control_1,B97_control
Light_Dark-CT-1,19A1824.1,1824,3,dark,1,NY,OH7B,14A1166,Light-Dark,6122019,1,GT-0084,L&D_OH7B_dark_19A1824.1_33.lcd,0.648,26.257,5.865,0.087,3.896,0.58,32.77,4.563,37.334,252768,OH7B_dark_1,OH7B_dark
Light_Dark-CT-1,19A1824.2,1824,3,dark,1,NY,OH7B,14A1166,Light-Dark,6122019,2,GT-0067,L&D_OH7B_dark_19A1824.2_29.lcd,NA,26.807,5.168,NA,NA,0.664,32.881,NA,42.857,254680,OH7B_dark_1,OH7B_dark
Light_Dark-CT-1,19A1824.3,1824,3,dark,1,NY,OH7B,14A1166,Light-Dark,6122019,3,GT-0049,L&D_OH7B_dark_19A1824.3_11.lcd,0.563,NA,5.369,0.1,4.54,0.615,NA,5.255,34.671,257350,OH7B_dark_1,OH7B_dark
Light_Dark-CT-1,19A1825.1,1825,2,light,1,NY,OH7B,14A1166,Light-Dark,6122019,1,GT-0066,L&D_OH7B_light_19A1825.1_79.lcd,0.554,22.408,5.034,2.41,46.85,1.03,27.996,50.289,78.286,234405,OH7B_light_1,OH7B_light
Light_Dark-CT-1,19A1825.2,1825,2,light,1,NY,OH7B,14A1166,Light-Dark,6122019,2,GT-0031,L&D_OH7B_light_19A1825.2_72.lcd,0.648,20.88,3.22,2.371,38.992,0.895,24.748,42.258,67.006,203252,OH7B_light_1,OH7B_light
Light_Dark-CT-1,19A1826.1,1826,0,control,1,NY,OH7B,14A1166,Light-Dark,6122019,1,GT-0059,L&D_OH7B_control_19A1826.1_23.lcd,1.12,27.003,5.059,2.701,40.978,1.026,33.182,44.705,77.887,262842,OH7B_control_1,OH7B_control
Light_Dark-CT-1,19A1826.2,1826,1,control,1,NY,OH7B,14A1166,Light-Dark,6122019,2,GT-0047,L&D_OH7B_control_19A1826.2_28.lcd,0.696,22.675,4.716,2.542,41.204,1.02,28.087,44.766,72.853,257625,OH7B_control_1,OH7B_control
Light_Dark-CT-1,19A1826.3,1826,1,control,1,NY,OH7B,14A1166,Light-Dark,6122019,3,GT-0065,L&D_OH7B_control_19A1826.3_60.lcd,0.838,25.042,4.839,2.369,38.659,NA,30.719,41.992,72.71,239044,OH7B_control_1,OH7B_control
