Plate.Number,Envelope,Treatment,Rep,Location,Genotype,Field.location,Source,Extraction.BC,Datafile,d.T3,g.T3,a.T3,d.T,g.T,a.T,Total.Tocotrienols,Total.Tocopherols,Total.Tocochromanols,ID,ID2
LD_Plate 1,18A1319_1_1,Control,1,NY,B97,U,14A1273,8032064647,02042019_LD1_18A1319_1_1_B97_9.lcd,1.95975,21.975125,5.636875,0.0875714285714286,11.3178571428571,5.05,29.5715,16.4552857142857,48.418125,B97_Control_1,B97_Control
LD_Plate 1,18A1319_2_1,Dark,1,NY,B97,U,14A1273,8032064793,02042019_LD1_18A1319_2_1_B97_17.lcd,1.917,22.9806666666667,4.96566666666667,0.039875,4.06157142857143,3.56866666666667,30.1425,7.80785714285714,37.561875,B97_Dark_1,B97_Dark
LD_Plate 1,18A1319_3_1,Light,1,NY,B97,U,14A1273,8032064606,02042019_LD1_18A1319_3_1_B97_27.lcd,1.50628571428571,26.6831111111111,5.9889,0.275545454545455,28.1592727272727,6.78244444444444,33.9076666666667,34.7490909090909,69.1134,B97_Light_1,B97_Light
LD_Plate 1,18A1320_1_1,Dark,1,NY,Ki11,U,14A1275,8032064678,02042019_LD1_18A1320_1_1_Ki11_40.lcd,0.2562,8.807,7.04116666666667,0.0178,2.7982,5.852,15.9894,8.9375,26.0624285714286,Ki11_Dark_1,Ki11_Dark
LD_Plate 1,18A1320_2_1,Light,1,NY,Ki11,U,14A1275,8032065175,02042019_LD1_18A1320_2_1_Ki11_47.lcd,0.265142857142857,9.89685714285714,7.0854,1.71383333333333,58.8905,15.0068571428571,17.9707142857143,74.5321428571429,92.503,Ki11_Light_1,Ki11_Light
LD_Plate 1,18A1320_3_1,Control,1,NY,Ki11,U,14A1275,8032064595,02042019_LD1_18A1320_3_1_Ki11_55.lcd,0.3505,10.4401818181818,7.74054545454545,1.6546,56.8515833333333,14.9303333333333,19.3535,73.8944166666667,94.0935454545455,Ki11_Control_1,Ki11_Control
LD_Plate 1,18A1321_1_1,Light,1,NY,NC358,U,14A1278,8032065322,02042019_LD1_18A1321_1_1_NC358_69.lcd,1.56477777777778,15.6518,19.3606666666667,0.309666666666667,16.1556,10.2672857142857,36.8395,25.8732857142857,62.9447,NC358_Light_1,NC358_Light
LD_Plate 1,18A1321_2_1,Control,1,NY,NC358,U,14A1278,8032064806,02042019_LD1_18A1321_2_1_NC358_80.lcd,1.4731,15.4341818181818,17.6985833333333,0.266333333333333,14.7501818181818,9.85108333333333,34.5013,25.2213333333333,59.6483333333333,NC358_Control_1,NC358_Control
LD_Plate 1,18A1321_3_1,Dark,1,NY,NC358,U,14A1278,8032064455,02042019_LD1_18A1321_3_1_NC358_94.lcd,1.4688,15.3435,16.9225454545455,0.0144166666666667,2.45181818181818,3.94911111111111,34.0518333333333,6.271875,40.72675,NC358_Dark_1,NC358_Dark
LD_Plate 1,18A1322_1_1,Dark,1,NY,B73,U,14A1165,8032065147,02042019_LD1_18A1322_1_1_B73_3.lcd,0.985,26.9548333333333,13.1503333333333,0.0118333333333333,1.71283333333333,2.3935,43.222,4.2764,47.783,B73_Dark_1,B73_Dark
