HPLC.Plate.Number,Barcode,Plot,Random.number,Treatment,Rep,Location,Genotype,Source,Exp,Planted,Plant.Id,Grind.Tube,Datafile,d.T3,g.T3,a.T3,d.T,g.T,a.T,Total.Tocotrienols,Total.Tocopherols,Total.Tocochromanols,Total.Carots,ID,ID2
Light_Dark-CT-1,19A1815.1,1815,1,control,1,NY,B73,14A1165,Light-Dark,6122019,1,GT-0007,L&D_B73_control_19A1815.1_46.lcd,1.19683333333333,29.412,15.192,5.00333333333333,39.2886,5.689,45.8301666666667,49.898,95.3896,150867,B73_control_1,B73_control
Light_Dark-CT-1,19A1816.1,1816,2,light,1,NY,B73,14A1165,Light-Dark,6122019,1,GT-0058,L&D_B73_light_19A1816.1_66.lcd,1.0135,31.05,13.9635,4.764,36.0003333333333,5.67766666666667,45.8885,46.4416666666667,93.1883333333333,147433.5,B73_light_1,B73_light
Light_Dark-CT-1,19A1817.1,1817,3,dark,1,NY,B73,14A1165,Light-Dark,6122019,1,GT-0075,L&D_B73_dark_19A1817.1_40.lcd,1.159,25.9913333333333,14.7006666666667,0.0416666666666667,3.159,2.041,43.43,5.627,47.3533333333333,144654.666666667,B73_dark_1,B73_dark
Light_Dark-CT-1,19A1818.1,1818,2,light,1,NY,B97,14A1273,Light-Dark,6122019,1,GT-0028,L&D_B97_light_19A1818.1_9.lcd,1.60166666666667,28.8285,6.1915,0.539,33.4135,7.42533333333333,36.238,40.3376666666667,76.757,100513,B97_light_1,B97_light
Light_Dark-CT-1,19A1819.1,1819,3,dark,1,NY,B97,14A1273,Light-Dark,6122019,1,GT-0003,L&D_B97_dark_19A1819.1_67.lcd,1.54775,24.6426666666667,5.921,0.0144285714285714,3.49071428571429,4.08766666666667,32.0328333333333,7.66716666666667,39.7001666666667,95565.2857142857,B97_dark_1,B97_dark
Light_Dark-CT-1,19A1820.1,1820,1,control,1,NY,B97,14A1273,Light-Dark,6122019,1,GT-0033,L&D_B97_control_19A1820.1_24.lcd,1.64433333333333,24.9158333333333,5.7112,0.224,15.3681666666667,5.7072,32.5916666666667,21.496,54.0875,94979.3333333333,B97_control_1,B97_control
Light_Dark-CT-1,19A1824.1,1824,3,dark,1,NY,OH7B,14A1166,Light-Dark,6122019,1,GT-0084,L&D_OH7B_dark_19A1824.1_33.lcd,0.6055,26.532,5.46733333333333,0.0935,4.218,0.619666666666667,32.8255,4.909,38.2873333333333,254932.666666667,OH7B_dark_1,OH7B_dark
Light_Dark-CT-1,19A1825.1,1825,2,light,1,NY,OH7B,14A1166,Light-Dark,6122019,1,GT-0066,L&D_OH7B_light_19A1825.1_79.lcd,0.601,21.644,4.127,2.3905,42.921,0.9625,26.372,46.2735,72.646,218828.5,OH7B_light_1,OH7B_light
Light_Dark-CT-1,19A1826.1,1826,0,control,1,NY,OH7B,14A1166,Light-Dark,6122019,1,GT-0059,L&D_OH7B_control_19A1826.1_23.lcd,0.88625,24.54775,4.79775,2.6355,41.4125,1.01866666666667,30.23175,45.053,75.2845,250856.75,OH7B_control_1,OH7B_control
Light_Dark-CT-1,19A1847.1,1847,1,control,2,NY,B73,14A1165,Light-Dark,6122019,1,GT-0063,L&D_B73_control_19A1847.1_38.lcd,1.14385714285714,28.73,14.8224,4.28371428571429,39.0262857142857,6.09457142857143,45.7994,49.4044285714286,94.2501428571429,174495.666666667,B73_control_2,B73_control
Light_Dark-CT-1,19A1848.1,1848,3,dark,2,NY,B73,14A1165,Light-Dark,6122019,1,GT-0008,L&D_B73_dark_19A1848.1_53.lcd,1.089,25.3245,14.5595,0.0263333333333333,1.783,1.88433333333333,41.7896666666667,3.90933333333333,45.699,146703,B73_dark_2,B73_dark
Light_Dark-CT-1,19A1849.1,1849,2,light,2,NY,B73,14A1165,Light-Dark,6122019,1,GT-0006,L&D_B73_light_19A1849.1_92.lcd,0.98,28.8882,15.394,5.76216666666667,43.6118,5.7014,46.347,55.5314,100.4915,155133,B73_light_2,B73_light
Light_Dark-CT-1,19A1851.1,1851,3,dark,2,NY,OH7B,14A1166,Light-Dark,6122019,1,GT-0061,L&D_OH7B_dark_19A1851.1_10.lcd,0.636666666666667,23.4323333333333,5.19525,0.109,4.883,0.581333333333333,29.1176666666667,5.573,34.6906666666667,248116.75,OH7B_dark_2,OH7B_dark
Light_Dark-CT-1,19A1852.1,1852,1,control,2,NY,OH7B,14A1166,Light-Dark,6122019,1,GT-0062,L&D_OH7B_control_19A1852.1_37.lcd,0.6285,24.3675,5.524,2.183,41.234,1.017,30.5205,44.4345,74.9545,261987,OH7B_control_2,OH7B_control
Light_Dark-CT-1,19A1856.1,1856,1,control,2,NY,B97,14A1273,Light-Dark,6122019,1,GT-0032,L&D_B97_control_19A1856.1_80.lcd,1.76783333333333,26.3308,5.72466666666667,0.2915,16.7855,5.625,34.0244,22.7016666666667,57.2256,92757.8,B97_control_2,B97_control
Light_Dark-CT-1,19A1857.1,1857,3,dark,2,NY,B97,14A1273,Light-Dark,6122019,1,GT-0042,L&D_B97_dark_19A1857.1_52.lcd,1.5094,23.91875,5.42075,0.00925,3.1126,3.4958,30.88975,6.55166666666667,37.20675,90845.6,B97_dark_2,B97_dark
Light_Dark-CT-1,19A1858.1,1858,2,light,2,NY,B97,14A1273,Light-Dark,6122019,1,GT-0012,L&D_B97_light_19A1858.1_22.lcd,1.40975,28.47675,5.814,0.484,28.04775,5.78033333333333,35.84025,34.7953333333333,70.2306666666667,104363.8,B97_light_2,B97_light
