Treatment,Rep,Genotype,dT3,gT3,aT3,dT,dT10,dT100,gT,aT,TotalTocotrienols,TotalTocopherols,TotalTocochromanols,TotalT_met_2018
Treatmen,,Genotype,,,,,,,,,,,,
Control,1,B97,1.95975,21.975125,5.636875,0.087571429,0.87571429,8.7571429,11.31785714,5.05,29.5715,16.45528571,48.418125,-0.373687128
Dark,1,B97,1.917,22.98066667,4.965666667,0.039875,0.39875,3.9875,4.061571429,3.568666667,30.1425,7.807857143,37.561875,0.3568843638
Light,1,B97,1.506285714,26.68311111,5.9889,0.275545455,2.75545455,27.5545455,28.15927273,6.782444444,33.90766667,34.74909091,69.1134,1.675846901
Dark,1,Ki11,0.2562,8.807,7.041166667,0.0178,0.178,1.78,2.7982,5.852,15.9894,8.9375,26.06242857,0.0165478485
Light,1,Ki11,0.265142857,9.896857143,7.0854,1.713833333,17.13833333,171.3833333,58.8905,15.00685714,17.97071429,74.53214286,92.503,-1.12669472
Control,1,Ki11,0.3505,10.44018182,7.740545455,1.6546,16.546,165.46,56.85158333,14.93033333,19.3535,73.89441667,94.09354545,1.3119833895
Light,1,NC358,1.564777778,15.6518,19.36066667,0.309666667,3.09666667,30.9666667,16.1556,10.26728571,36.8395,25.87328571,62.9447,-0.456831239
Control,1,NC358,1.4731,15.43418182,17.69858333,0.266333333,2.66333333,26.6333333,14.75018182,9.851083333,34.5013,25.22133333,59.64833333,1.546351083
Dark,1,NC358,1.4688,15.3435,16.92254545,0.014416667,0.14416667,1.4416667,2.451818182,3.949111111,34.05183333,6.271875,40.72675,-0.572535945
Dark,1,B73,0.985,26.95483333,13.15033333,0.011833333,0.11833333,1.1833333,1.712833333,2.3935,43.222,4.2764,47.783,-0.254420787
Control,1,B73,1.5744,31.456,17.1046,2.4015,24.015,240.15,34.3346,6.1848,51.2286,43.286,90.148,-0.533006528
Light,1,B73,0.816875,27.61133333,16.16577778,2.932857143,29.32857143,293.2857143,31.764875,5.945875,44.64477778,40.831125,92.03471429,1.6342542841
Control,1,OH7B,0.640666667,23.46525,5.39975,3.4308,34.308,343.08,54.1726,1.3705,29.58025,58.9174,90.3026,1.319083989
Dark,1,OH7B,0.703428571,25.21308333,5.873583333,0.078538462,0.78538462,7.8538462,7.522769231,0.849636364,31.4744,8.414538462,39.8822,-0.197628538
Light,1,OH7B,0.5872,20.337,4.593166667,2.4104,24.104,241.04,45.602,1.084285714,25.651,49.336,75.1622,-1.090436307
Light,1,M37W,0.018,10.38,9.419666667,0.693,6.93,69.3,33.04133333,2.119,20.4565,35.897,54.85933333,-1.309986128
