Treatment,Rep,Genotype,aT,dT,gT,aT3,dT3,gT3,TotalT,TotalT3,TotalTT3
Control,1,B73,0.5163618118,-1.719140223,-0.473280825,-1.033098944,0.5827548133,-1.530426327,-0.533006528,-1.164186985,-0.802317922
Control,1,B97,-1.004806138,0.4111082242,-0.092903615,-0.339515176,0.8117679509,-1.660234446,-0.373687128,-1.733622084,-1.40094755
Control,1,Ki11,-0.816888792,0.7849653026,1.8024611508,-0.121084324,0.6511774926,1.0911979225,1.3119833895,0.6566693315,1.048553014
Control,1,M37W,1.8980161314,0.4513907917,0.9366252524,1.3348238837,-0.621818538,0.2150147983,1.1224287269,1.2813961293,1.0550516882
Control,1,MS71,-0.369842252,-1.681580749,0.9709437389,0.2023272796,-0.704175252,0.703870585,1.4228269445,-0.271215296,0.1597965232
Control,1,NC358,0.3913495704,1.4032085217,0.5340709446,0.5967839404,1.4558920781,1.0307377297,1.546351083,0.5645076256,1.6973864115
Control,1,OH7B,1.2722475545,-0.730817391,1.106768388,0.4518946533,-1.864171797,-0.146887116,1.319083989,0.6080862673,0.7639029293
Control,2,B73,-0.516361812,1.7191402229,0.4732808246,1.0330989439,-0.582754813,1.530426327,0.533006528,1.1641869845,0.8023179222
Control,2,B97,1.0048061375,-0.411108224,0.092903615,0.3395151759,-0.811767951,1.6602344459,0.3736871285,1.7336220836,1.4009475503
Control,2,Ki11,0.8168887918,-0.784965303,-1.802461151,0.1210843242,-0.651177493,-1.091197922,-1.31198339,-0.656669331,-1.048553014
Control,2,M37W,-1.898016131,-0.451390792,-0.936625252,-1.334823884,0.6218185376,-0.215014798,-1.122428727,-1.281396129,-1.055051688
Control,2,MS71,0.3698422518,1.6815807491,-0.970943739,-0.20232728,0.7041752515,-0.703870585,-1.422826944,0.2712152964,-0.159796523
Control,2,NC358,-0.39134957,-1.403208522,-0.534070945,-0.59678394,-1.455892078,-1.03073773,-1.546351083,-0.564507626,-1.697386411
Control,2,OH7B,-1.272247554,0.7308173911,-1.106768388,-0.451894653,1.8641717972,0.1468871157,-1.319083989,-0.608086267,-0.763902929
Dark,1,B73,-0.479949201,-0.017695375,-1.928913328,-2.150522567,-1.505696574,0.5520011235,-0.254420787,-1.681164145,-0.324486019
Dark,1,B97,0.7315907529,-0.096439594,0.2598803596,-0.185717703,0.8549358964,-0.502159735,0.3568843638,-0.359059852,-0.245448239
Dark,1,Ki11,-0.138856792,-0.110686942,-0.116212496,-0.724283249,0.3546354353,-0.152735436,0.0165478485,-1.049185612,-0.113896247
Dark,1,M37W,0.6247952435,0.008736596,0.0221593921,1.1306670658,-1.011018677,-0.230548445,0.0638807608,0.3203473145,0.1772701739
Dark,1,MS71,-0.136885991,-0.803859352,0.053410794,-0.412282244,0.9344854494,1.6441762101,-0.752051301,1.5851762301,0.1063230362
Dark,1,NC358,-0.530437941,-0.006566746,-0.282398679,0.9694102281,1.0425523415,1.7437357246,-0.572535945,1.2159064866,1.4147056358
Dark,1,OH7B,0.8805425237,-0.011804535,-1.823168882,0.2152888252,-0.782456189,-0.357686376,-0.197628538,-0.954140797,-0.061378772
Dark,2,B73,0.4799492009,0.0176953751,1.9289133281,2.1505225666,1.5056965743,-0.552001124,0.2544207866,1.6811641453,0.3244860185
Dark,2,B97,-0.731590753,0.0964395937,-0.25988036,0.1857177031,-0.854935896,0.5021597348,-0.356884364,0.3590598516,0.2454482391
Dark,2,Ki11,0.1388567924,0.1106869417,0.1162124964,0.7242832493,-0.354635435,0.1527354363,-0.016547848,1.0491856121,0.1138962475
Dark,2,M37W,-0.624795244,-0.008736596,-0.022159392,-1.130667066,1.0110186771,0.2305484448,-0.063880761,-0.320347315,-0.177270174
Dark,2,MS71,0.1368859914,0.8038593519,-0.053410794,0.4122822439,-0.934485449,-1.64417621,0.7520513007,-1.58517623,-0.106323036
Dark,2,NC358,0.5304379408,0.0065667463,0.2823986791,-0.969410228,-1.042552341,-1.743735725,0.5725359447,-1.215906487,-1.414705636
Dark,2,OH7B,-0.880542524,0.0118045348,1.8231688817,-0.215288825,0.7824561887,0.3576863762,0.1976285384,0.9541407973,0.061378772
Light,1,B73,1.6970762277,-0.211512089,1.5095867651,-0.350599114,0.0946626076,-0.200872183,1.6342542841,-0.427002925,1.2888377643
Light,1,B97,0.9359512182,1.6755941188,1.0406563736,0.1623040069,1.3699430221,-0.336500601,1.675846901,-0.182045781,0.2442143121
Light,1,Ki11,-1.212963119,1.5791199662,-0.261390707,-2.145271617,0.8078018128,0.4156014498,-1.12669472,-1.076498571,-1.10791315
Light,1,M37W,0.8311642076,-1.666505681,-1.592250447,0.1542396581,-1.682343385,-1.692378994,-1.309986128,-0.879947591,-1.157244811
Light,1,MS71,1.7523431337,-0.134976381,0.785537322,1.4823146884,0.144808453,0.014928604,0.6696602711,0.3761734133,1.3821936406
Light,1,NC358,1.7123479297,0.6155454317,-0.04537932,1.6798608448,0.6491238593,0.2493866961,-0.456831239,1.3169397351,1.9673472329
Light,1,OH7B,0.2911212941,-1.571010825,-0.61786016,-0.083528748,-0.450561011,-1.754839277,-1.090436307,-0.927854435,-1.307841088
Light,2,B73,-1.697076228,0.2115120893,-1.509586765,0.3505991135,-0.094662608,0.2008721833,-1.634254284,0.4270029254,-1.288837764
Light,2,B97,-0.935951218,-1.675594119,-1.040656374,-0.162304007,-1.369943022,0.3365006012,-1.675846901,0.1820457815,-0.244214312
Light,2,Ki11,1.2129631187,-1.579119966,0.2613907066,2.1452716174,-0.807801813,-0.41560145,1.1266947196,1.0764985708,1.1079131498
Light,2,M37W,-0.831164208,1.6665056808,1.5922504475,-0.154239658,1.6823433847,1.6923789937,1.3099861277,0.8799475906,1.157244811
Light,2,MS71,-1.752343134,0.1349763812,-0.785537322,-1.482314688,-0.144808453,-0.014928604,-0.669660271,-0.376173413,-1.382193641
Light,2,NC358,-1.71234793,-0.615545432,0.0453793197,-1.679860845,-0.649123859,-0.249386696,0.4568312394,-1.316939735,-1.967347233
