Barcode,Family,Genotype,d-T3,g-T3,a-T3,d-T,g-T,a-T,Total.Tocotrienols,Total.Tocopherols,Total.Tocochromanols,Total.Carots,geno
19A1881_1,9.3-41,"POR1POR1,por2por2",0.285337660037273,4.70635739979324,9.69262083382042,0.270460715844251,9.43462858770244,7.58562206751662,14.6843158936509,17.2907113710633,31.9750272647143,311529.042826721,++--
19A1881_6,9.3-41,"por1por1,POR2POR2",0.387325401275995,5.48417143540502,9.36774094490919,0.161416425344427,7.13192664974585,8.07312412777042,15.2392377815902,15.3664672028607,30.6057049844509,308103.220387393,--++
19A1882_1,9.3-41,"POR1POR1,por2por2",0.362464226314365,4.46586506927722,8.59564395400023,0.0839684333186558,4.20823501465847,6.03239131488941,13.4239732495918,10.3245947628665,23.7485680124584,310866.081429664,++--
19A1882_4,9.3-41,"POR1por1,por2por2",0.414586169596194,5.66214042558947,11.8758890460811,0.110980173752836,5.08653854855114,7.01836110638798,17.9526156412668,12.215879828692,30.1684954699587,302813.913008112,+---
19A1882_6,9.3-41,"por1por1,POR2POR2",0.368633734728511,5.72755340979472,10.7004033071058,0.20873333408958,7.80889427156017,8.73889139656375,16.7965904516291,16.7565190022135,33.5531094538426,301763.455784152,--++
19A1884_10,9.3-41,"POR1POR1,por2por2",0.460572867002011,5.87559713693256,9.28866841262327,0.306604807254325,10.8415202839717,10.1043479507057,15.6248384165578,21.2524730419317,36.8773114584895,313056.144267264,++--
19A1884_3,9.3-41,"por1por1,POR2por2",0.321285877260482,5.25154003198906,11.7760290305597,0.039167528181732,2.6005017789018,5.96341761981324,17.3488549398092,8.60308692689677,25.951941866706,343520.457024498,--+-
19A1884_4,9.3-41,"POR1por1,por2por2",0.513926428139896,8.67699521805119,11.3982506150135,0.466101577550442,12.0900391291151,6.70376918600403,20.5891722612046,19.2599098926695,39.8490821538741,300633.833939946,+---
19A1884_7,9.3-41,"por1por1,POR2POR2",0.466533835004584,6.22378110413774,11.7227764080452,0.689930879234499,17.9050061818168,8.94173444253111,18.4130913471875,27.5366715035824,45.94976285077,331801.223006309,--++
19A1884_8,9.3-41,"POR1por1,por2por2",0.391291426808996,5.22078219537886,7.73407069659321,0.371546655469358,10.7628264138604,6.6332926646282,13.3461443187811,17.7676657339579,31.113810052739,281500.438202586,+---
19A1885_1,9.3-41,"por1por1,POR2POR2",0.479326288409605,5.58079323228828,10.808580700222,0.475171101538582,13.2075039557242,12.5913414653499,16.8687002209199,26.2740165226128,43.1427167435326,302130.991621847,--++
