Gene_ID	A.Priori.Candidate.Gene.Pathway	chr_v4	start_v4	end_v4	RefGen_v4.Annotated.Gene.Function..raw.	Gene.Name	functional.annotation	genotype	treatment	genotype:treatment
Zm00001d001820	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	2	1439871	1441447	 pcr1;protochlorophyllide reductase1: leaf cDNA csu349 similar to plant protochlorophyllide reductase	pcr1	protochlorophyllide oxidoreductase A	0.00230084482967617	0.100456417698786	0.0279676236753631
Zm00001d001850	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	2	1914398	1919938	Magnesium-chelatase subunit ChlH chloroplastic	chlh	magnesium-chelatase subunit chlH, chloroplast, putative / Mg-protoporphyrin IX chelatase, putative (CHLH)	0.134230496946291	0.304689305321078	0.466551849902759
Zm00001d001896	Prenyl Group Synthesis	2	2509567	2511414	Probable phytol kinase%2C chloroplastic  	vte5	vitamin E pathway gene	0.00350314687162149	0.0618134654664754	0.742430980660165
Zm00001d002128	Chorismate/Tyrosine Synthesis	2	6409519	6412809	Shikimate kinase 1 chloroplastic	sk1-a	shikimate kinase	0.000913422972564598	0.0503439773471389	0.590431667056512
Zm00001d002358	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	2	10781211	10785395	 nec4;necrotic4: seedling yellow, leaf tips necrotic; lethal	nec4	Coproporphyrinogen III oxidase	0.00101107385210615	0.429539215175505	0.655367568293518
Zm00001d003214	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	2	36238478	36251590	 prpo2;protoporphyrinogen IX oxidase2:	prpo2	Flavin containing amine oxidoreductase family	0.350027354022218	0.116988961842089	0.674915119124272
Zm00001d003830	Chorismate/Tyrosine Synthesis	2	61203599	61204879	Arogenate dehydratase/prephenate dehydratase 6 chloroplastic	adt6-a	arogenate dehydratase	0.139892935716637	0.5643830117947	0.0250325776635562
Zm00001d004531	chlorophyll cycle	2	116800854	116802446	Chlorophyllide a oxygenase chloroplastic	cao-a	Pheophorbide a oxygenase family protein with Rieske [2Fe-2S] domain	0.00738888248810241	0.433851663589298	0.45257395039633
Zm00001d005351	Chorismate/Tyrosine Synthesis	2	170643478	170644746	Arogenate dehydratase/prephenate dehydratase 6 chloroplastic	adt6-b	arogenate dehydratase	0.0106183308331525	0.999418922825943	0.27027814584814
Zm00001d006242	Chorismate/Tyrosine Synthesis	2	202646606	202650071	3-dehydroquinate synthase chloroplastic	dhqs-a	3-dehydroquinate synthase, putative	4.58949097544458e-05	0.656164498136932	0.784281512377951
Zm00001d006387	Tocochromanol Pathway	2	206364249	206367453	Homogentisate phytyltransferase 1 chloroplastic	hggt2	homogentisate phytyltransferase	0.00624239509213677	0.108091983737998	0.57337943881267
Zm00001d006657	Tocochromanol Pathway	2	213698948	213714990	Homogentisate solanesyltransferase chloroplastic	pds2	homogentisate prenyltransferase	1.78548103006535e-05	0.0184961755342065	0.904292839110689
Zm00001d006678	Prenyl Group Synthesis	2	214097373	214099059	 ggps1;geranylgeranyl pyrophosphate synthase1: part of multigene family encoding geranylgeranyl diphosphate synthase	ggps1	geranylgeranyl pyrophosphate synthase	1.20384695191346e-05	0.744130555090712	0.252646096022675
Zm00001d006778		2	216443683	216448352	vte7; alpha-beta hydrolase	vte7	alpha/beta-Hydrolases superfamily protein	0.00253565758812214	0.242999991463734	0.646373779124325
Zm00001d006900	Chorismate/Tyrosine Synthesis	2	219013866	219017858	Phospho-2-dehydro-3-deoxyheptonate aldolase 2 chloroplastic	dhs2-c	Class-II DAHP synthetase family protein	0.00054622680273973	0.299874880222154	0.602701663210278
Zm00001d007462	Tryosine Degradation	2	232247283	232255516	 tat1;tyrosine aminotransferase homolog1:	tat1	Tyrosine transaminase family protein	0.041113756191529	0.777207298294132	0.0027107829764098
Zm00001d008203	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	8	1019559	1026656	 prpo1;protoporphyrinogen IX oxidase1: Ortholog of Arabidopsis PPOX/ PPO1. protoporphyrinogen oxidase. (A. Barkan, 2015)complements E coli mutant; recombinant protein has protoporphyrinogen oxidase activity (DeMarco et al 2000)	prpo1	Flavin containing amine oxidoreductase family	0.000210543909583311	0.977194831016796	0.193539810969309
Zm00001d008230	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	8	2034108	2036318	Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase chloroplastic	crd1-b	dicarboxylate diiron protein, putative (Crd1)	0.00148641001128452	0.132686367608114	0.832938517572714
Zm00001d008370	Prenyl Group Synthesis	8	6617307	6618398	Putative geranylgeranyl pyrophosphate synthase 3  	ggps3	Terpenoid synthases superfamily protein	0.275969308695088	0.856156807410355	0.975835427926774
Zm00001d008427	IPP Synthesis	8	8429852	8436838	 dxr2;deoxy xylulose reductoisomerase2:	dxr2	1-deoxy-D-xylulose 5-phosphate reductoisomerase	5.99696492112144e-06	0.265123926714407	0.472801233997981
Zm00001d009987	Tocochromanol Pathway	8	93548283	93551747	Ubiquinone biosynthesis protein ubiB  	abc1k3-c	Protein kinase superfamily protein	0.000745592759640157	0.360710111069357	0.148527663340665
Zm00001d010190	Chorismate/Tyrosine Synthesis	8	103456053	103460657	 got5;glutamate-oxaloacetate transaminase5: putative aspartate transaminase; plastidial (Huang et al 2013);	got5	aspartate aminotransferase	6.7465952125719e-05	0.588133381193024	0.0373240501126086
Zm00001d010240	chlorophyll degradation	8	105682069	105684075	alpha/beta-Hydrolases superfamily protein	abh	alpha/beta-Hydrolases superfamily protein	2.93179811798904e-05	0.131353987802634	0.385139003595536
Zm00001d010274	IPP Synthesis	8	106962806	106966802	 ippi3;isopentenyl pyrophosphate isomerase3: part of multigene family encoding isopentenyl pyrophosphate isomerase	ippi3	isopentenyl diphosphate isomerase	0.000189177765248481	0.0599972350609555	0.334196081878698
Zm00001d011387	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	8	149262980	149266214	Uroporphyrinogen decarboxylase 1 chloroplastic	heme1	Uroporphyrinogen decarboxylase	0.0256907091455897	0.615496125345738	0.0329747180904637
Zm00001d011756	Prenyl Group Synthesis	8	160818522	160825421	Protein VTE6 chloroplastic	vte6	Protein of unknown function DUF92, transmembrane	0.00212699596184827	0.474024551694949	0.583739850478246
Zm00001d011819	chlorophyll cycle	8	162062147	162065473	Chlorophyllide a oxygenase chloroplastic	cao-c	Pheophorbide a oxygenase family protein with Rieske [2Fe-2S] domain	0.000134963906349478	0.102366834869908	0.403268248813034
