Gene_ID	A.Priori.Candidate.Gene.Pathway	chr_v4	start_v4	end_v4	RefGen_v4.Annotated.Gene.Function..raw.	Gene.Name	functional.annotation	B73_dark_control	B73_light_control	B73_light_dark	b97_dark_control	b97_light_control	b97_light_dark	Ki11_dark_control	Ki11_light_control	Ki11_light_dark	M37W_dark_control	M37W_light_control	M37W_light_dark	MS71_dark_control	MS71_light_control	MS71_light_dark	NC358_dark_control	NC358_light_control	NC358_light_dark	OH7B_dark_control	OH7B_light_control	OH7B_light_dark
Zm00001d001820	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	2	1439871	1441447	 pcr1;protochlorophyllide reductase1: leaf cDNA csu349 similar to plant protochlorophyllide reductase	pcr1	protochlorophyllide oxidoreductase A	0.518458326326447	0.179942525505967	0.532264902253403	0.970453013996252	0.963419401391421	0.999585001021196	0.159780478381133	0.475937911665796	0.391763654877339	0.430024671687419	0.781537547106077	0.760463104950871	0.688096759390919	0.582075648584197	0.302407364591494	NA	NA	NA	0.974911808146257	0.69269947050083	0.803557304501032
Zm00001d001850	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	2	1914398	1919938	Magnesium-chelatase subunit ChlH chloroplastic	chlh	magnesium-chelatase subunit chlH, chloroplast, putative / Mg-protoporphyrin IX chelatase, putative (CHLH)	0.950835229837527	0.762090733151413	0.900894788774691	NA	NA	NA	0.0651585670971007	0.0314412797750467	0.00645288660183785	0.845333860701081	0.996857524443165	0.879820463474538	0.19116558403841	0.114753118183435	0.815800348390559	NA	NA	NA	0.792498988775138	0.156066083716234	0.23280246415048
Zm00001d001896	Prenyl Group Synthesis	2	2509567	2511414	Probable phytol kinase%2C chloroplastic  	vte5	vitamin E pathway gene	0.00803023655066548	0.00268085290135611	0.000618066407559126	0.314653424792209	0.0258471203447811	0.0439310660171421	0.196926343175744	0.346062228400608	0.812480655631378	0.996620522119289	0.918465500720072	0.945641060627087	0.138600984823116	0.21621400579011	0.741251516815993	0.822996566468538	0.115616186677417	0.0875657788614327	0.725519714072878	0.63838171357119	0.984450551693284
Zm00001d002128	Chorismate/Tyrosine Synthesis	2	6409519	6412809	Shikimate kinase 1 chloroplastic	sk1-a	shikimate kinase	0.0326594458603113	0.0313637534392908	0.996964499256195	0.357677502485789	0.286308813037004	0.967397011963779	0.504964879342346	0.754171652957526	0.257452149955813	0.861177995451808	0.999991991594142	0.859427969017876	0.0479597941341503	0.023495769791811	0.487842960638964	0.237296143236546	0.0260830327531305	0.0508707456677743	0.600985889251777	0.72800811246342	0.959992644526454
Zm00001d002358	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	2	10781211	10785395	 nec4;necrotic4: seedling yellow, leaf tips necrotic; lethal	nec4	Coproporphyrinogen III oxidase	0.0347777946630063	0.173948622086551	0.192987005063063	0.486104519669308	0.838019309417282	0.772682755591738	0.563021324701804	0.999255066249801	0.580662353139789	0.933428623092294	0.903234196884464	0.99652451949024	0.922756197230126	0.542786266271134	0.736893520793851	0.249816768792406	0.0804640669870148	0.268701617495821	0.91841954936999	0.722061342947067	0.905619448612129
Zm00001d003214	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	2	36238478	36251590	 prpo2;protoporphyrinogen IX oxidase2:	prpo2	Flavin containing amine oxidoreductase family	0.645343810665391	0.996063748188124	0.684671176036109	0.540861266766146	0.0766825636655752	0.133231256670641	0.822540736247917	0.996994954531584	0.857736832623918	0.460136815281386	0.39881455645931	0.979365987244609	0.182140469098835	0.472663395866258	0.468580269564752	0.32872702133342	0.656923584113145	0.145900966534802	0.950812313525268	0.778676894357087	0.914386715048027
Zm00001d003830	Chorismate/Tyrosine Synthesis	2	61203599	61204879	Arogenate dehydratase/prephenate dehydratase 6 chloroplastic	adt6-a	arogenate dehydratase	0.00021887106110885	0.000180649267084609	0.629435332081026	0.981899964118613	0.625250448835576	0.719041631856015	0.475094085867149	0.844930354885094	0.751860476141845	NA	NA	NA	0.981199419672881	0.962644333237564	0.898924191731321	0.997930933596988	0.562162196801271	0.591728633242397	0.183518290587145	0.563551665351896	0.499086245974033
Zm00001d004531	chlorophyll cycle	2	116800854	116802446	Chlorophyllide a oxygenase chloroplastic	cao-a	Pheophorbide a oxygenase family protein with Rieske [2Fe-2S] domain	0.538783404646329	0.53878340122842	1	0.860163273165484	0.42032265188194	0.626335225818733	1	0.538783397811269	0.538783397811268	0.652325387531398	0.952153040205368	0.806898374350093	0.989493048934363	0.428676643576579	0.484956819437783	0.549312300776974	0.999982923606534	0.547065376922683	NA	NA	NA
Zm00001d005351	Chorismate/Tyrosine Synthesis	2	170643478	170644746	Arogenate dehydratase/prephenate dehydratase 6 chloroplastic	adt6-b	arogenate dehydratase	0.0613270075962002	0.0690731361043833	0.982691779871748	0.68554044499381	0.218770750291147	0.404091440152948	NA	NA	NA	0.962020898050057	0.805905950751328	0.924487564784655	0.204636536508272	0.0553021388080189	0.323871070099511	0.337621688947473	0.296908106156783	0.988929567282344	0.794024742314828	0.61539535697288	0.936750653605959
Zm00001d006242	Chorismate/Tyrosine Synthesis	2	202646606	202650071	3-dehydroquinate synthase chloroplastic	dhqs-a	3-dehydroquinate synthase, putative	0.372820474430887	0.995346478095086	0.405147133222887	0.403748190268129	0.627026833148143	0.202510338093468	0.6768634159807	0.465968777438902	0.899540786761734	0.999708342767467	0.720808054330749	0.732747176085293	0.954885194165318	0.700026889223105	0.568427247940464	0.734731288628672	0.896950672546904	0.935618386804925	0.731159647301361	0.809556037350095	0.456945521911923
