Gene_ID	A.Priori.Candidate.Gene.Pathway	chr_v4	start_v4	end_v4	RefGen_v4.Annotated.Gene.Function..raw.	Gene.Name	functional.annotation	dark_control	light_control	light_dark
Zm00001d001820	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	2	1439871	1441447	 pcr1;protochlorophyllide reductase1: leaf cDNA csu349 similar to plant protochlorophyllide reductase	pcr1	protochlorophyllide oxidoreductase A	0.465207539946211	0.0741754375111326	0.507860484364755
Zm00001d001850	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	2	1914398	1919938	Magnesium-chelatase subunit ChlH chloroplastic	chlh	magnesium-chelatase subunit chlH, chloroplast, putative / Mg-protoporphyrin IX chelatase, putative (CHLH)	0.416763858057397	0.984691776529632	0.334241802950139
Zm00001d001896	Prenyl Group Synthesis	2	2509567	2511414	Probable phytol kinase%2C chloroplastic  	vte5	vitamin E pathway gene	0.159759861019646	0.0642939392923657	0.861231258054613
Zm00001d002128	Chorismate/Tyrosine Synthesis	2	6409519	6412809	Shikimate kinase 1 chloroplastic	sk1-a	shikimate kinase	0.396973951653699	0.0330420471663101	0.358334147576377
Zm00001d002358	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	2	10781211	10785395	 nec4;necrotic4: seedling yellow, leaf tips necrotic; lethal	nec4	Coproporphyrinogen III oxidase	0.986564996154913	0.448635876430942	0.539885787561066
Zm00001d003214	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	2	36238478	36251590	 prpo2;protoporphyrinogen IX oxidase2:	prpo2	Flavin containing amine oxidoreductase family	0.527553307219264	0.507993767888106	0.0986303075496108
Zm00001d003830	Chorismate/Tyrosine Synthesis	2	61203599	61204879	Arogenate dehydratase/prephenate dehydratase 6 chloroplastic	adt6-a	arogenate dehydratase	0.728454837223904	0.555273260159403	0.955115197892221
Zm00001d004531	chlorophyll cycle	2	116800854	116802446	Chlorophyllide a oxygenase chloroplastic	cao-a	Pheophorbide a oxygenase family protein with Rieske [2Fe-2S] domain	0.40243728572825	0.755084956058218	0.817724580326057
Zm00001d005351	Chorismate/Tyrosine Synthesis	2	170643478	170644746	Arogenate dehydratase/prephenate dehydratase 6 chloroplastic	adt6-b	arogenate dehydratase	0.999382394315108	0.999724726964969	0.999931720521677
Zm00001d006242	Chorismate/Tyrosine Synthesis	2	202646606	202650071	3-dehydroquinate synthase chloroplastic	dhqs-a	3-dehydroquinate synthase, putative	0.681122274081339	0.728094232399798	0.996643133021324
Zm00001d006387	Tocochromanol Pathway	2	206364249	206367453	Homogentisate phytyltransferase 1 chloroplastic	hggt2	homogentisate phytyltransferase	0.389422586854984	0.637682725155411	0.0929323657276599
Zm00001d006657	Tocochromanol Pathway	2	213698948	213714990	Homogentisate solanesyltransferase chloroplastic	pds2	homogentisate prenyltransferase	0.105794378782139	0.585429629211707	0.0163615849893106
Zm00001d006678	Prenyl Group Synthesis	2	214097373	214099059	 ggps1;geranylgeranyl pyrophosphate synthase1: part of multigene family encoding geranylgeranyl diphosphate synthase	ggps1	geranylgeranyl pyrophosphate synthase	0.722047199081082	0.938368590890433	0.901503605108559
Zm00001d006778		2	216443683	216448352	vte7; alpha-beta hydrolase	vte7	alpha/beta-Hydrolases superfamily protein	0.74337809328779	0.570326688596702	0.206231906545659
Zm00001d006900	Chorismate/Tyrosine Synthesis	2	219013866	219017858	Phospho-2-dehydro-3-deoxyheptonate aldolase 2 chloroplastic	dhs2-c	Class-II DAHP synthetase family protein	0.39995310670305	0.337005724541347	0.990874367114389
Zm00001d007462	Tryosine Degradation	2	232247283	232255516	 tat1;tyrosine aminotransferase homolog1:	tat1	Tyrosine transaminase family protein	0.793263077079081	0.997351694129979	0.830750522995035
Zm00001d008203	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	8	1019559	1026656	 prpo1;protoporphyrinogen IX oxidase1: Ortholog of Arabidopsis PPOX/ PPO1. protoporphyrinogen oxidase. (A. Barkan, 2015)complements E coli mutant; recombinant protein has protoporphyrinogen oxidase activity (DeMarco et al 2000)	prpo1	Flavin containing amine oxidoreductase family	0.988997392029557	0.975831077764599	0.997368930457663
Zm00001d008230	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	8	2034108	2036318	Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase chloroplastic	crd1-b	dicarboxylate diiron protein, putative (Crd1)	0.194351185787855	0.172293354438508	0.996888868632754
Zm00001d008370	Prenyl Group Synthesis	8	6617307	6618398	Putative geranylgeranyl pyrophosphate synthase 3  	ggps3	Terpenoid synthases superfamily protein	0.999823485974753	0.883209453509201	0.874907284434792
Zm00001d008427	IPP Synthesis	8	8429852	8436838	 dxr2;deoxy xylulose reductoisomerase2:	dxr2	1-deoxy-D-xylulose 5-phosphate reductoisomerase	0.242924215977977	0.807967781018556	0.550659484659112
Zm00001d009987	Tocochromanol Pathway	8	93548283	93551747	Ubiquinone biosynthesis protein ubiB  	abc1k3-c	Protein kinase superfamily protein	0.664350506028347	0.332871698189815	0.823260404042775
Zm00001d010190	Chorismate/Tyrosine Synthesis	8	103456053	103460657	 got5;glutamate-oxaloacetate transaminase5: putative aspartate transaminase; plastidial (Huang et al 2013);	got5	aspartate aminotransferase	0.862351985907828	0.858559948116035	0.5589345427342
Zm00001d010240	chlorophyll degradation	8	105682069	105684075	alpha/beta-Hydrolases superfamily protein	abh	alpha/beta-Hydrolases superfamily protein	0.775811239937863	0.347899464662283	0.120336151301888
Zm00001d010274	IPP Synthesis	8	106962806	106966802	 ippi3;isopentenyl pyrophosphate isomerase3: part of multigene family encoding isopentenyl pyrophosphate isomerase	ippi3	isopentenyl diphosphate isomerase	0.0486825943818933	0.407973885499498	0.411819881624384
Zm00001d011387	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	8	149262980	149266214	Uroporphyrinogen decarboxylase 1 chloroplastic	heme1	Uroporphyrinogen decarboxylase	0.815407084951332	0.592760380489702	0.923770132784409
Zm00001d011756	Prenyl Group Synthesis	8	160818522	160825421	Protein VTE6 chloroplastic	vte6	Protein of unknown function DUF92, transmembrane	0.848589361384321	0.443789601775799	0.765707119365427
Zm00001d011819	chlorophyll cycle	8	162062147	162065473	Chlorophyllide a oxygenase chloroplastic	cao-c	Pheophorbide a oxygenase family protein with Rieske [2Fe-2S] domain	0.16606205726719	0.975233647870747	0.113426950212409
Zm00001d012197	IPP Synthesis	8	169924646	169928100	 dmes2;diphosphocytidyl methyl erythritol synthase2:	dmes2	Nucleotide-diphospho-sugar transferases superfamily protein	0.806780953264566	0.149016942632876	0.382344158459381
Zm00001d012674	Chorismate/Tyrosine Synthesis	8	178397389	178409967	 cmu1;chorismate mutase1: function largely predicted; protein heterodimerizes with fungal chorismate mutase	cmu1-b	chorismate mutase	0.830930250261543	0.891567610135591	0.991449772749327
Zm00001d013013	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	5	3206170	3213965	Magnesium-chelatase subunit ChlD chloroplastic	chld	ALBINA	0.246522541001982	0.489439178596366	0.87455185989209
Zm00001d013618	Chorismate/Tyrosine Synthesis	5	15623823	15627865	Phospho-2-dehydro-3-deoxyheptonate aldolase 2 chloroplastic	dhs2-e	Class-II DAHP synthetase family protein	0.500226778616229	0.902594047066013	0.28473706212056
Zm00001d013651	chlorophyll cycle	5	16205069	16210643	Chlorophyll(ide) b reductase NOL chloroplastic	nol	NYC1-like	0.913953938810744	0.885904534561177	0.663421820852726
Zm00001d013915	tetrapyrrole biosynthesis I (from glutamate)	5	24682234	24685218	Glutamyl-tRNA reductase 1 chloroplastic	hema1-b	Glutamyl-tRNA reductase family protein	0.629636812326188	0.505886628834648	0.976314659026614
Zm00001d013937	3,8-divinyl-chlorophyllide biosynthesis I (aerobic, light-dependent)	5	25431430	25434346	Protochlorophyllide reductase C chloroplastic	por2	protochlorophyllide oxidoreductase A	0.252849071860686	0.97492165470178	0.181187578869649
Zm00001d014715	tetrapyrrole biosynthesis I (from glutamate)	5	60297071	60301044	Delta-aminolevulinic acid dehydratase 1 chloroplastic	hemb1	Aldolase superfamily protein	0.000100332955787374	0.882323412144405	3.44634989527526e-05
Zm00001d014734	Chorismate/Tyrosine Synthesis	5	61099110	61100192	Arogenate dehydrogenase 1 chloroplastic	arodeH2	prephenate dehydrogenase family protein	0.987527273452273	0.767592878886772	0.677835070394262
Zm00001d014737	Chorismate/Tyrosine Synthesis	5	61117986	61119432	Arogenate dehydrogenase 1 chloroplastic	arodeH2-b	prephenate dehydrogenase family protein	0.141241958878058	0.488971140553014	0.672883797950175
Zm00001d015094	Prenyl Group Synthesis	5	75259001	75273721	Alkaline/neutral invertase CINV2	invb	cytosolic invertase	0.391779920071709	0.424531474762838	0.997804381621598
Zm00001d015205	Prenyl Group Synthesis	5	79250420	79253647	Pheophytinase chloroplastic	pheophytinase	pheophytinase	0.871473256590061	0.992892089096183	0.920857750985483
Zm00001d015205	chlorophyll degradation	5	79250420	79253647	Pheophytinase chloroplastic	pph	pheophytinase	0.871473256590061	0.992892089096183	0.920857750985483
Zm00001d015356	Tryosine Degradation	5	86084655	86086755	 hppd1;4-hydroxyphenylpyruvate dioxygenase 1:	hppd1	phytoene desaturation	0.566000380606658	0.80022183151873	0.919041546752336
Zm00001d015366	tetrapyrrole biosynthesis I (from glutamate)	5	86475220	86478975	Porphobilinogen deaminase chloroplastic	hemc-b	hydroxymethylbilane synthase	0.0601107727757918	0.359203008451918	0.529512214314052
Zm00001d015509	Chorismate/Tyrosine Synthesis	5	94540334	94543558	 cmu2;chorismate mutase2: enzyme activity from protein raised in E coli	cmu2-b	chorismate mutase	0.895056496254253	0.225701874664998	0.10235624630099
Zm00001d015985	Tocochromanol Pathway	5	136805708	136822194	Probable tocopherol cyclase%2C chloroplastic  	vte1	tocopherol cyclase, chloroplast / vitamin E deficient 1 (VTE1) / sucrose export defective 1 (SXD1)	0.650616318948337	0.0706602896474311	0.329012845346484
Zm00001d016441	Tryosine Degradation	5	162429370	162433900	Tyrosine aminotransferase	tat	Tyrosine transaminase family protein	0.245953980539376	0.937547054181828	0.404553755440382
